Status,Subsystem,Supplier,Description,Qty.,Cost,Tax,Shipping,Total Cost,Link
In Stock,Suspension,Lowes,2 inch caster wheel w/ brake,7,7.58, $ -   , $ -   ,53.06,https://www.homedepot.com/p/Everbilt-2-in-Black-Soft-Rubber-and-Steel-Swivel-Plate-Caster-with-Locking-Brake-and-90-lbs-Load-Rating-49509/203661074?
In Stock,Suspension,Lowes,2 inch caster swivel wheel,9,6.88, $ -   , $ -   ,61.92,https://www.homedepot.com/p/Everbilt-2-in-Black-Soft-Rubber-and-Steel-Swivel-Plate-Caster-with-Locking-Brake-and-90-lbs-Load-Rating-49509/203661074?
In Stock,Powertrain,Kum & Go,Gas,1,21.61, $ -   , $ -   ,21.61,
Canceled,Suspension,Micro-Measurements,350 ohm strain gauges (5pk),2,0.00, $ -   , $ -   ,0.00,https://micro-measurements.com/pca/detail/062tt
In Stock,Powertrain,Totalflow,2 inch ID/OD straight through muffler for use on dyno cart,1,32.66, $ -   , $ 10.88 ,43.54,https://www.totalflowusa.com/totalflow-942-universal-race-exhaust-muffler-2-inch-id-2-inch-od
In Stock,Business,Cyclone Awards,Thank You Plaques,30,19.50, $ -   , $ -   ,585.00,N/A
In Stock,Business,CopyWorks,Thank You Letters & Photos,1,101.41, $ 7.10 , $ -   ,108.51,N/A
In Stock,Business,Amazon,Names Badges ,13,6.94, $ 6.37 , $ 16.34 ,112.93,https://www.amazon.com/gp/product/B0070D9WPY/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&psc=1
In Stock,Powertrain,jegs,water pump,1,248.40, $ 20.19 , $ -   ,268.59,https://www.jegs.com/i/Meziere/680/WP136S/10002/-1
In Stock,Powertrain,jegs,water pump fittings,2,19.99, $ -   , $ -   ,39.98,https://www.jegs.com/i/JEGS/555/50983/10002/-1
Hold Off,Powertrain,Summit,Walbro Replacement In-Tank Fuel Pickups,2,24.99, $ -   , $ -   ,49.98,https://www.summitracing.com/parts/vpn-mp12
Hold Off,Powertrain,Summit,Walbro Replacement In-Tank Fuel Pickups,1,23.99, $ -   , $ -   ,23.99,https://www.summitracing.com/parts/vpn-mp13
Ordered,Powertrain,Walmart,2x 6AN Male Flare Bulk Head To 5/16 Hose Barb Fuel Tank Fitting Auto Car Part,1,10.98, $ 1.33 , $ -   ,12.31,https://www.walmart.com/ip/seort/1487886915
In Stock,Powertrain,Amazon,6AN Rollover Valve Aluminum Fuel Cell Tank,1,16.99, $ 3.71 , $ -   ,20.70,https://www.amazon.com/gp/product/B0859FZGGB/
In Stock,Powertrain,Amazon,In-Tank Multi Point Fuel Pickup Valve fits Walbro MP-12,2,17.99, $ -   , $ -   ,35.98,https://www.amazon.com/gp/product/B07D931WH2
In Stock,Powertrain,Walmart,Aluminum Alloy 1.5inch 1 1/2inch I.D. Weld on Cap and Neck Fuel,1,10.90, $ 2.01 , $ -   ,12.91,https://www.walmart.com/ip/seort/1095445777
In Stock,Powertrain,Walmart,"5/16"" Fuel Line Check Valve ",1,7.34, $ -   , $ -   ,7.34,https://www.walmart.com/ip/seort/901778942
In Stock,Powertrain,Walmart,5/16 Fuel Line Check Valve Aluminum Alloy,1,7.99, $ -   , $ -   ,7.99,https://www.walmart.com/ip/432690624
In Stock,Powertrain,Walmart,2x 6AN Male Flare Bulk Head To 5/16 Hose Barb Fuel Tank Fitting Auto Car Part,1,10.98, $ -   , $ -   ,10.98,https://www.walmart.com/ip/seort/1487886915
In Stock,Powertrain,Ebay,2005 R6 Stock coolant reservoir for use on dyno cart,1,29.49, $ 2.06 , $ -   ,31.55,https://www.ebay.com/itm/294359545120?amdata=enc%3AAQAHAAAAsITj%2BWQlpcNm6eW1qeYh0NPM2JmR2g0Ot7oLlW%2BY7XFTgkT5xART2Nrk9D8sTdztpQ567v6bL6F4HO3ALgh7SqE4KT5ZucMYTQrjRvsAty%2BTSQc9KPdfdWeoYIQjRWAr5caIBgOhFvBjW%2FWDfAB%2Fh%2BJEUjGjqKbIMP9ouXMvrPsFS0w8k6ACqT20XIjbL5Dk7JHTYUhw5BjXd8xX03ScRSXHDB5SR9Gu8BiQkzXEPz6k%7Ctkp%3ABk9SR4Kv_8rvYA
In Stock,Business,Walmart,"Thank You Supplies - Bubble wrap, Tape, Shipping Labels, Etc.",1,62.34, $ 4.36 , $ -   ,66.70,
Not Ordered,Powertrain,Ebay,06-07 Yamaha YZF R6 R6R Engine Motor,1,, $ -   , $ -   ,0.00,https://www.ebay.com/itm/165726915716
Not Ordered,Powertrain,Schnitz Racing,Wossner Piston Kit Yamaha YZF-R6 - K8830DA-4,1,569.95, $ -   , $ -   ,569.95,https://store.schnitzracing.com/wossner-piston-kit-yamaha-yzf-r6-01-11/
In Stock,Chassis,McMaster Carr,Economical Garolite Sheet,1,61.77, $ -   , $ -   ,61.77,https://www.mcmaster.com/8491K45/
Not Ordered,Powertrain,Amazon,PQY Flare Cap Tube Fitting Hex Head Port Fitting Adapter Pack of 4 (AN6),1,13.99, $ 0.98 , $ 5.99 ,20.96,https://www.amazon.com/dp/B091L72WQH/
Not Ordered,Powertrain,McMaster Carr,Snug-Fit Vibration-Damping Loop Clamp,2,3.90, $ -   , $ -   ,7.80,https://www.mcmaster.com/4711N128/
Not Ordered,Powertrain,McMaster Carr,Polyethylene Plastic Loop Clamp,1,2.52, $ -   , $ -   ,2.52,https://www.mcmaster.com/2220T81/
Not Ordered,Powertrain,Amazon,Earl's Performance 731155ERL 5/16 Vapor Guard Fuel Filter-10 Micron-Efi,1,17.90, $ -   , $ -   ,17.90,https://www.amazon.com/gp/product/B07FXQYLY6/
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
,,,,,,,,0.00,
